"","outletID","estID","east_DD","south_DD","est_name","full_ecosystem_type_name","est_ecosystem_type_code","biogeographical_zone","efz_ha","condition24","condition18","condition11","fishing_effort24","fishing_effort18","fishing_effort11","hund_km_zone","hund_km_zone_cond","fish","fish2018","efz_area","sum_area24pa","sum_area18pa","mod11","mod18","mod24","pes11","pes18","pes24"
"73",126,73,25.2919519722222,-33.9880369444444,"Maitland","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",67.6223983047,77.4496726792101,77.8546726792101,70.6,"L","L","L",20,57.5668214195842,75,75,676224.02331402,107412.721087373,107412.721087373,"Moderate","NearNatural","NearNatural","C","B","B"
"74",127,74,25.630013,-33.9637297222222,"Baakens","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",13.45920401614,21.1525547445255,23.7025547445255,25.4,"L","L","L",21,46.5830566251599,15,15,134592.036284557,3843.14747468044,3843.14747468044,"Severely","Severely","Severely","E","E","E"
"75",128,75,25.613886,-33.917293,"Papkuils","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",80.4275510301,14.5171844131758,14.5171844131758,12.65,"L","L","L",21,46.5830566251599,0,0,804275.473919714,0,0,"Severely","Severely","Severely","E","E","E"
"76",129,76,25.6330449722222,-33.8662447222222,"Swartkops","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",2860.9820933741,46.925,52.9924629678953,61.7,"VH","H","H",21,46.5830566251599,40,40,28609820.9135771,3643573.44557762,3643573.44557762,"Moderate","Heavily","Heavily","C","D","D"
"77",130,77,25.690739,-33.79538,"Coega (Ngqurha)","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",443.4697046942,22.226962962963,23.856962962963,17.375,"L","L","L",21,46.5830566251599,5,5,4434697.00450157,0,0,"Severely","Severely","Severely","E","E","E"
"78",131,78,25.853725,-33.7218358333333,"Sundays","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",823.960453553,62.05,66.175,66.175,"VH","H","H",21,46.5830566251599,40,70,8239605.99732661,4455999.17018836,127701.870811141,"Moderate","Moderate","Moderate","C","C","C"
"79",132,79,26.586261,-33.7271727777778,"Boknes","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",47.4786166467,66.6500692520776,69.6250692520776,72,"L","L","L",22,73.3089072304155,70,70,474786.169721512,0,0,"Moderate","Moderate","Moderate","C","C","C"
"80",133,80,26.663622,-33.6949158333333,"Bushmans","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",888.8300520387,72.025,77.95,74.25,"H","H","H",22,73.3089072304155,75,80,8888300.73374787,3075317.71195399,3075317.71195399,"Moderate","NearNatural","Moderate","C","B","C"
"81",134,81,26.686399,-33.6827708333333,"Kariega","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",559.0062516524,67.5875,68.7125864453665,71.025,"VH","M","L",22,73.3089072304155,70,60,5590061.59625372,838222.74345274,838222.74345274,"Moderate","Moderate","Moderate","C","C","C"
"82",135,82,26.70302,-33.6695588888889,"Grant's","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",16.29659832782,67.445,67.695,67,"L","L","L",22,73.3089072304155,65,65,162965.984808337,32801.9265517867,32801.9265517867,"Moderate","Moderate","Moderate","C","C","C"
